first_name,last_name,position,team,season,fantasy_points_ppr,fantasy_adp,age,is_rookie,nfl_draft_round,games,completions,attempts,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,points_per_game
Justin,Jefferson,WR,MIN,2023.0,204.2,1.4,26.0,False,1.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,-12.0,0.0,68.0,100.0,1074.0,5.0,20.42
Christian,McCaffrey,RB,SF,2023.0,480.3,2.4,29.0,False,1.0,19.0,0.0,0.0,0.0,0.0,0.0,331.0,1727.0,18.0,86.0,108.0,716.0,8.0,25.28
Ja'Marr,Chase,WR,CIN,2023.0,262.72,2.4,25.0,False,1.0,16.0,1.0,1.0,-7.0,0.0,0.0,3.0,-6.0,0.0,100.0,145.0,1216.0,7.0,16.42
Tyreek,Hill,WR,MIA,2023.0,393.6,4.4,31.0,False,5.0,17.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,0.0,124.0,179.0,1861.0,14.0,23.15
Austin,Ekeler,RB,LAC,2023.0,185.4,5.0,30.0,False,0.0,14.0,0.0,0.0,0.0,0.0,0.0,179.0,628.0,5.0,51.0,74.0,436.0,1.0,13.24
Travis,Kelce,TE,KC,2023.0,305.4,5.9,36.0,False,3.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,125.0,158.0,1339.0,8.0,16.07
Cooper,Kupp,WR,LA,2023.0,172.1,7.0,32.0,False,3.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,0.0,64.0,104.0,764.0,5.0,13.24
Stefon,Diggs,WR,BUF,2023.0,291.8,8.5,31.0,False,5.0,19.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,117.0,177.0,1256.0,8.0,15.36
Bijan,Robinson,RB,ATL,2023.0,246.3,8.8,23.0,True,1.0,17.0,0.0,0.0,0.0,0.0,0.0,214.0,976.0,4.0,58.0,86.0,487.0,4.0,14.49
Saquon,Barkley,RB,NYG,2023.0,223.2,9.0,28.0,False,1.0,14.0,0.0,0.0,0.0,0.0,0.0,247.0,962.0,6.0,41.0,60.0,280.0,4.0,15.94
CeeDee,Lamb,WR,DAL,2023.0,425.7,11.0,26.0,False,1.0,18.0,0.0,0.0,0.0,0.0,0.0,15.0,118.0,2.0,144.0,198.0,1859.0,12.0,23.65
A.J.,Brown,WR,PHI,2023.0,289.6,12.5,28.0,False,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,158.0,1456.0,7.0,17.04
Nick,Chubb,RB,CLE,2023.0,23.1,12.5,29.0,False,2.0,2.0,0.0,0.0,0.0,0.0,0.0,28.0,170.0,0.0,4.0,4.0,21.0,0.0,11.55
Amon-Ra,St. Brown,WR,DET,2023.0,386.5,13.2,26.0,False,4.0,19.0,0.0,0.0,0.0,0.0,0.0,5.0,26.0,0.0,141.0,198.0,1789.0,11.0,20.34
Tony,Pollard,RB,DAL,2023.0,244.1,15.2,28.0,False,4.0,18.0,0.0,0.0,0.0,0.0,0.0,267.0,1061.0,7.0,62.0,76.0,340.0,0.0,13.56
Davante,Adams,WR,LV,2023.0,265.4,15.6,32.0,False,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,175.0,1144.0,8.0,15.61
Garrett,Wilson,WR,NYJ,2023.0,213.2,15.6,25.0,False,1.0,17.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,95.0,168.0,1042.0,3.0,12.54
Derrick,Henry,RB,TEN,2023.0,246.66,17.9,31.0,False,2.0,17.0,2.0,3.0,14.0,2.0,0.0,280.0,1167.0,12.0,28.0,36.0,214.0,0.0,14.51
Patrick,Mahomes,QB,KC,2023.0,358.36,19.6,30.0,False,1.0,20.0,505.0,746.0,5234.0,33.0,15.0,98.0,530.0,0.0,0.0,0.0,0.0,0.0,17.92
Jaylen,Waddle,WR,MIA,2023.0,204.6,19.9,27.0,False,1.0,15.0,0.0,0.0,0.0,0.0,0.0,4.0,21.0,0.0,74.0,109.0,1045.0,4.0,13.64
Chris,Olave,WR,NO,2023.0,231.3,20.4,25.0,False,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,138.0,1123.0,5.0,14.46
Josh,Jacobs,RB,LV,2023.0,181.09999,21.9,27.0,False,1.0,13.0,0.0,0.0,0.0,0.0,0.0,233.0,805.0,6.0,37.0,54.0,296.0,0.0,13.93
DeVonta,Smith,WR,PHI,2023.0,250.4,23.3,27.0,False,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,124.0,1214.0,7.0,14.73
Rhamondre,Stevenson,RB,NE,2023.0,145.7,23.4,27.0,False,4.0,12.0,0.0,0.0,0.0,0.0,0.0,156.0,619.0,4.0,38.0,51.0,238.0,0.0,12.14
Jonathan,Taylor,RB,IND,2023.0,156.4,25.9,26.0,False,2.0,10.0,0.0,0.0,0.0,0.0,0.0,169.0,741.0,7.0,19.0,23.0,153.0,1.0,15.64
Josh,Allen,QB,BUF,2023.0,458.8,26.6,29.0,False,1.0,19.0,432.0,648.0,4695.0,33.0,18.0,131.0,670.0,18.0,0.0,0.0,0.0,0.0,24.15
Tee,Higgins,WR,CIN,2023.0,137.6,26.6,26.0,False,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,76.0,656.0,5.0,11.47
Jalen,Hurts,QB,PHI,2023.0,371.32,26.9,27.0,False,2.0,18.0,377.0,573.0,4108.0,24.0,15.0,158.0,610.0,15.0,0.0,0.0,0.0,0.0,20.63
Mark,Andrews,TE,BAL,2023.0,138.9,28.9,30.0,False,3.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,47.0,63.0,559.0,6.0,12.63
Keenan,Allen,WR,LAC,2023.0,278.86,29.2,33.0,False,3.0,13.0,1.0,2.0,49.0,1.0,0.0,2.0,6.0,0.0,108.0,150.0,1243.0,7.0,21.45
Calvin,Ridley,WR,JAX,2023.0,229.9,29.2,30.0,False,1.0,17.0,0.0,0.0,0.0,0.0,0.0,9.0,23.0,0.0,76.0,136.0,1016.0,8.0,13.52
Najee,Harris,RB,PIT,2023.0,202.7,30.4,27.0,False,1.0,18.0,0.0,0.0,0.0,0.0,0.0,267.0,1072.0,8.0,31.0,41.0,185.0,0.0,11.26
DK,Metcalf,WR,SEA,2023.0,225.4,30.8,27.0,False,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,119.0,1114.0,8.0,14.09
Joe,Mixon,RB,CIN,2023.0,267.0,31.4,29.0,False,2.0,17.0,0.0,0.0,0.0,0.0,0.0,257.0,1034.0,9.0,52.0,64.0,376.0,3.0,15.71
Travis,Etienne,RB,JAX,2023.0,282.4,34.7,26.0,False,1.0,17.0,0.0,0.0,0.0,0.0,0.0,267.0,1008.0,11.0,58.0,73.0,476.0,1.0,16.61
Amari,Cooper,WR,CLE,2023.0,236.9,35.4,31.0,False,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,133.0,1309.0,5.0,14.81
Breece,Hall,RB,NYJ,2023.0,290.5,36.6,24.0,False,2.0,17.0,0.0,0.0,0.0,0.0,0.0,223.0,994.0,5.0,76.0,95.0,591.0,4.0,17.09
Jahmyr,Gibbs,RB,DET,2023.0,292.9,36.7,23.0,True,1.0,18.0,0.0,0.0,0.0,0.0,0.0,211.0,1089.0,13.0,63.0,85.0,410.0,1.0,16.27
Lamar,Jackson,QB,BAL,2023.0,385.88,36.9,28.0,False,1.0,18.0,343.0,516.0,4102.0,27.0,8.0,167.0,975.0,7.0,1.0,1.0,13.0,0.0,21.44
Deebo,Samuel,WR,SF,2023.0,272.8,37.2,29.0,False,2.0,18.0,0.0,1.0,0.0,0.0,0.0,43.0,240.0,5.0,73.0,111.0,1038.0,7.0,15.16
Aaron,Jones,RB,GB,2023.0,183.6,38.9,30.0,False,5.0,13.0,0.0,0.0,0.0,0.0,0.0,181.0,882.0,5.0,34.0,50.0,254.0,1.0,14.12
DeAndre,Hopkins,WR,TEN,2023.0,223.6,41.4,33.0,False,1.0,17.0,0.0,1.0,0.0,0.0,0.0,2.0,9.0,0.0,75.0,137.0,1057.0,7.0,13.15
Joe,Burrow,QB,CIN,2023.0,147.16,43.2,28.0,False,1.0,10.0,244.0,365.0,2309.0,15.0,6.0,31.0,88.0,0.0,0.0,0.0,0.0,0.0,14.72
Drake,London,WR,ATL,2023.0,174.38,44.1,24.0,False,1.0,16.0,1.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,69.0,110.0,905.0,2.0,10.9
T.J.,Hockenson,TE,MIN,2023.0,219.0,44.2,28.0,False,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,127.0,960.0,5.0,14.6
Jerry,Jeudy,WR,DEN,2023.0,141.8,44.8,26.0,False,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,87.0,758.0,2.0,8.86
Kenneth,Walker,RB,SEA,2023.0,199.40001,47.9,31.0,False,2.0,15.0,0.0,0.0,0.0,0.0,0.0,219.0,905.0,8.0,29.0,37.0,259.0,1.0,13.29
