first_name,last_name,pos_qb,pos_rb,pos_wr,pos_te,team_win_pct_weighted,fantasy_adp,age,is_rookie,nfl_draft_round,seasons_played,avg_games,avg_completions,avg_attempts,avg_passing_yards,avg_passing_tds,avg_interceptions,avg_carries,avg_rushing_yards,avg_rushing_tds,avg_receptions,avg_targets,avg_receiving_yards,avg_receiving_tds,avg_points_per_game
Christian,McCaffrey,0,1,0,0,0.661,1.4,29.0,0,1.0,5,14.53,0.27,0.67,9.07,0.27,0.0,232.87,1153.73,10.53,71.93,88.73,608.0,4.87,23.6
Breece,Hall,0,1,0,0,0.34,2.2,24.0,0,2.0,2,13.67,0.0,0.0,0.0,0.0,0.0,175.33,817.0,4.67,57.0,73.67,466.67,3.0,16.87
Tyreek,Hill,0,0,1,0,0.567,2.6,31.0,0,5.0,5,17.87,0.0,0.0,0.0,0.0,0.0,9.33,54.2,0.53,121.53,176.27,1688.53,11.53,20.63
CeeDee,Lamb,0,0,1,0,0.648,3.7,26.0,0,1.0,4,17.9,0.0,0.0,0.0,0.0,0.0,12.6,87.5,0.9,117.3,167.8,1524.9,9.5,18.98
Bijan,Robinson,0,1,0,0,0.392,4.9,23.0,0,1.0,1,17.0,0.0,0.0,0.0,0.0,0.0,214.0,976.0,4.0,58.0,86.0,487.0,4.0,14.49
Amon-Ra,St. Brown,0,0,1,0,0.469,6.2,26.0,0,4.0,3,17.5,0.0,0.0,0.0,0.0,0.0,6.67,54.83,0.17,120.83,167.5,1433.5,8.33,18.11
Ja'Marr,Chase,0,0,1,0,0.538,7.2,25.0,0,1.0,3,16.5,0.5,0.5,-3.5,0.0,0.0,5.67,9.5,0.0,103.33,153.67,1333.83,9.5,17.79
Justin,Jefferson,0,0,1,0,0.535,8.0,26.0,0,1.0,4,14.4,1.3,2.1,16.6,0.0,0.0,2.9,5.4,0.3,98.1,143.8,1449.6,7.1,20.11
Jahmyr,Gibbs,0,1,0,0,0.469,9.4,23.0,0,1.0,1,18.0,0.0,0.0,0.0,0.0,0.0,211.0,1089.0,13.0,63.0,85.0,410.0,1.0,16.27
Jonathan,Taylor,0,1,0,0,0.47,9.8,26.0,0,2.0,4,12.3,0.0,0.0,0.0,0.0,0.0,216.9,1041.6,8.8,27.8,35.7,206.6,0.9,16.32
A.J.,Brown,0,0,1,0,0.614,10.9,28.0,0,2.0,5,17.07,0.0,0.4,0.0,0.0,0.0,0.67,6.6,0.07,89.8,141.73,1354.13,8.87,16.25
Saquon,Barkley,0,1,0,0,0.614,11.3,28.0,0,1.0,5,13.2,0.0,0.0,0.0,0.0,0.0,215.2,890.93,6.0,43.2,60.13,293.8,1.87,14.65
Garrett,Wilson,0,0,1,0,0.34,12.1,25.0,0,1.0,2,17.0,0.0,1.0,0.0,0.0,0.0,4.0,1.33,0.0,91.0,161.0,1062.33,3.33,12.59
Marvin,Harrison,0,0,1,0,0.359,14.5,23.0,1,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puka,Nacua,0,0,1,0,0.537,15.2,24.0,0,5.0,1,18.0,0.0,0.0,0.0,0.0,0.0,13.0,87.0,0.0,114.0,170.0,1667.0,7.0,18.41
Derrick,Henry,0,1,0,0,0.656,15.9,31.0,0,2.0,5,15.2,1.47,1.8,6.93,1.2,0.0,312.73,1406.93,13.13,26.2,33.4,240.07,0.13,18.47
Kyren,Williams,0,1,0,0,0.537,15.9,25.0,0,5.0,2,11.33,0.0,0.0,0.0,0.0,0.0,172.33,849.67,8.0,25.0,36.67,168.67,2.0,14.76
Travis,Etienne,0,1,0,0,0.386,17.6,26.0,0,1.0,2,17.67,0.0,0.0,0.0,0.0,0.0,261.33,1104.0,9.33,51.67,65.0,432.67,0.67,15.16
Cooper,Kupp,0,0,1,0,0.537,18.9,32.0,0,3.0,5,14.13,0.0,0.73,0.0,0.0,0.0,4.6,22.13,0.27,96.0,134.07,1173.87,8.73,18.65
Isiah,Pacheco,0,1,0,0,0.743,19.8,26.0,0,7.0,2,18.67,0.0,0.0,0.0,0.0,0.0,259.67,1174.33,8.67,43.67,47.67,267.67,1.33,13.23
Davante,Adams,0,0,1,0,0.34,20.0,32.0,0,2.0,5,16.67,0.0,0.0,0.0,0.0,0.0,0.8,-0.27,0.0,111.8,175.47,1401.47,11.73,19.37
De'Von,Achane,0,1,0,0,0.567,21.4,24.0,0,3.0,1,12.0,0.0,0.0,0.0,0.0,0.0,109.0,809.0,8.0,30.0,43.0,218.0,3.0,16.39
Drake,London,0,0,1,0,0.392,21.5,24.0,0,1.0,2,16.33,0.67,0.67,14.67,0.0,0.0,0.0,0.0,0.0,70.0,112.33,892.0,2.67,10.77
Deebo,Samuel,0,0,1,0,0.661,23.0,29.0,0,2.0,5,16.2,0.2,0.73,4.8,0.2,0.0,48.6,272.2,4.47,69.0,107.4,996.67,4.87,15.02
Josh,Jacobs,0,1,0,0,0.617,23.6,27.0,0,1.0,5,14.93,0.0,0.0,0.0,0.0,0.0,266.87,1118.8,9.07,43.8,56.67,326.53,0.0,15.87
Travis,Kelce,0,0,0,1,0.743,24.4,36.0,0,3.0,5,19.13,0.33,0.47,0.93,0.2,0.0,1.4,4.0,0.27,127.07,168.87,1489.0,11.8,18.22
Josh,Allen,1,0,0,0,0.712,25.1,29.0,0,1.0,5,18.6,426.67,656.47,4818.53,37.07,15.6,132.53,733.8,11.13,0.2,0.2,2.67,0.2,24.05
Chris,Olave,0,0,1,0,0.546,26.2,25.0,0,1.0,2,15.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,131.67,1096.0,4.67,14.04
Rachaad,White,0,1,0,0,0.576,29.0,26.0,0,3.0,2,18.33,0.0,0.0,0.0,0.0,0.0,244.67,918.67,4.33,64.0,73.33,500.67,3.33,13.36
Jaylen,Waddle,0,0,1,0,0.567,29.1,27.0,0,1.0,3,16.17,0.0,0.0,0.0,0.0,0.0,3.67,22.33,0.17,80.33,119.17,1158.33,5.67,14.35
Sam,LaPorta,0,0,0,1,0.469,29.4,24.0,0,2.0,1,20.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,107.0,147.0,1065.0,11.0,14.19
James,Cook,0,1,0,0,0.712,30.3,26.0,0,2.0,2,18.67,0.0,0.0,0.0,0.0,0.0,217.33,1027.67,2.33,41.67,52.67,374.0,3.0,11.19
Patrick,Mahomes,1,0,0,0,0.743,30.8,30.0,0,1.0,5,19.53,496.73,737.87,5585.47,41.4,12.93,82.4,459.27,2.33,0.27,0.53,1.6,0.0,21.64
Nico,Collins,0,0,1,0,0.368,32.1,26.0,0,3.0,3,14.17,0.0,0.0,0.0,0.0,0.0,1.0,5.5,0.0,63.33,95.0,965.17,5.33,12.89
Alvin,Kamara,0,1,0,0,0.546,32.3,30.0,0,3.0,5,14.2,0.07,0.07,0.87,0.0,0.0,209.73,853.47,5.67,67.27,85.0,517.33,2.6,17.76
Mike,Evans,0,0,1,0,0.576,33.5,32.0,0,1.0,5,17.73,0.0,0.0,0.0,0.0,0.0,0.2,2.0,0.0,85.6,141.8,1295.47,12.0,16.25
Joe,Mixon,0,1,0,0,0.368,35.0,29.0,0,2.0,5,16.07,0.2,0.2,1.2,0.2,0.0,258.27,1031.47,8.67,52.6,64.27,378.0,2.47,16.23
Kenneth,Walker,0,1,0,0,0.546,35.6,31.0,0,2.0,4,15.3,0.0,0.0,0.0,0.0,0.0,226.2,967.4,8.6,28.7,36.7,231.7,0.7,13.36
Jalen,Hurts,1,0,0,0,0.614,37.3,27.0,0,2.0,4,17.2,325.3,503.1,3713.7,21.1,10.4,158.9,714.9,13.7,0.1,0.3,0.3,0.0,20.76
DeVonta,Smith,0,0,1,0,0.614,38.3,27.0,0,1.0,3,18.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.5,133.83,1234.0,7.0,14.12
Malik,Nabers,0,0,1,0,0.381,38.3,22.0,1,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DK,Metcalf,0,0,1,0,0.546,40.7,27.0,0,0.0,4,16.9,0.0,0.0,0.0,0.0,0.0,0.2,1.2,0.0,80.2,133.6,1134.1,9.2,14.65
Mark,Andrews,0,0,0,1,0.656,41.2,30.0,0,3.0,5,14.53,0.0,0.0,0.0,0.0,0.0,1.6,2.13,0.0,71.2,105.4,865.93,6.73,13.57
Stefon,Diggs,0,0,1,0,0.368,41.8,31.0,0,5.0,5,18.6,0.0,0.07,0.0,0.0,0.0,1.53,7.93,0.0,116.6,173.0,1424.4,9.4,17.01
DJ,Moore,0,0,1,0,0.355,43.7,28.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lamar,Jackson,1,0,0,0,0.656,44.2,28.0,0,1.0,5,14.93,273.8,422.53,3187.47,22.67,9.13,149.73,928.73,5.07,0.33,0.33,4.33,0.0,21.1
Michael,Pittman,0,0,1,0,0.47,45.2,28.0,0,2.0,4,16.0,0.0,0.0,0.0,0.0,0.0,2.3,21.5,0.0,95.4,137.6,1014.0,4.1,13.98
Aaron,Jones,0,1,0,0,0.535,46.0,30.0,0,5.0,5,15.4,0.0,0.0,0.0,0.0,0.0,201.13,1005.07,5.6,49.87,65.33,377.8,3.4,15.48
James,Conner,0,1,0,0,0.359,47.6,30.0,0,3.0,5,13.53,0.0,0.0,0.0,0.0,0.0,191.07,841.4,8.6,36.47,43.6,260.4,1.73,15.34
Brandon,Aiyuk,0,0,1,0,0.661,48.1,27.0,0,1.0,4,18.6,0.0,0.0,0.0,0.0,0.0,2.2,18.0,0.2,77.8,116.6,1200.6,7.1,13.11
Amari,Cooper,0,0,1,0,0.712,49.2,31.0,0,1.0,5,16.27,0.0,0.27,0.0,0.0,0.27,0.87,2.27,0.0,78.47,127.6,1159.27,7.07,14.56
C.J.,Stroud,1,0,0,0,0.368,49.9,24.0,0,1.0,1,17.0,354.0,553.0,4557.0,26.0,5.0,43.0,167.0,3.0,1.0,1.0,0.0,0.0,18.0
